timestamp,hr,spo2,temp,acc_x,acc_y,acc_z
14:49:05,68,99,34.48,0.99,-0.02,0.21,4.5
14:49:05,67,98,34.53,0.99,-0.02,0.21,4.5
14:49:05,66,98,34.72,0.99,-0.02,0.2,4.5
14:49:05,65,98,34.44,0.99,-0.02,0.21,4.5
14:49:05,66,98,34.44,0.98,-0.02,0.21,4.5
14:49:05,67,99,34.48,0.99,-0.03,0.21,4.5
14:49:05,67,98,34.53,0.99,-0.02,0.22,4.5
14:49:05,66,98,34.62,0.99,-0.02,0.21,4.5
14:49:05,68,99,34.67,0.98,-0.02,0.21,4.5
14:49:05,66,97,34.53,0.99,-0.02,0.21,4.5
14:49:05,67,99,34.62,0.99,-0.02,0.22,4.5
14:49:05,64,99,34.48,0.98,-0.02,0.22,4.5
14:49:05,67,97,34.53,0.98,-0.02,0.23,4.5
14:49:05,68,98,34.48,0.98,-0.02,0.22,4.5
14:49:05,65,97,34.48,0.98,-0.02,0.21,4.5
14:49:05,65,99,34.67,0.99,-0.02,0.21,4.5
14:49:05,68,99,34.67,0.99,-0.02,0.22,4.5
14:49:05,66,97,34.34,0.98,-0.02,0.22,4.5
14:49:05,68,98,34.53,0.98,-0.02,0.21,4.5
14:49:05,65,98,34.53,0.98,-0.02,0.22,4.5
14:49:06,65,98,34.62,0.98,-0.02,0.22,4.5
14:49:06,67,97,34.48,0.98,-0.02,0.22,4.5
14:49:06,67,99,34.72,0.99,-0.02,0.22,4.5
14:49:06,66,99,34.62,0.99,-0.02,0.22,4.5
14:49:06,65,97,34.72,0.98,-0.02,0.22,4.5
14:49:06,68,99,34.48,0.99,-0.02,0.22,4.5
14:49:06,66,98,34.81,0.99,-0.02,0.22,4.5
14:49:06,66,97,34.62,0.98,-0.02,0.21,4.5
14:49:06,66,98,34.67,0.98,-0.02,0.21,4.5
14:49:06,66,99,34.62,0.99,-0.02,0.21,4.5
14:49:06,66,99,34.53,0.99,-0.02,0.22,4.5
14:49:06,65,97,34.2,0.98,-0.02,0.22,4.5
14:49:06,67,97,34.53,0.98,-0.02,0.21,4.5
14:49:06,64,99,34.72,0.99,-0.02,0.22,4.5
14:49:06,66,99,34.48,0.98,-0.02,0.22,4.5
14:49:06,66,98,34.62,0.99,-0.02,0.21,4.5
14:49:06,64,98,34.72,0.98,-0.02,0.22,4.5
14:49:06,65,97,34.72,0.99,-0.02,0.22,4.5
14:49:06,66,99,34.53,0.99,-0.02,0.21,4.5
14:49:06,65,97,34.72,0.98,-0.02,0.22,4.5
14:49:06,65,97,34.62,0.99,-0.02,0.21,4.5
14:49:07,64,98,34.86,0.99,-0.02,0.21,4.5
14:49:07,67,98,34.53,0.99,-0.02,0.22,4.5
14:49:07,63,98,34.67,0.98,-0.02,0.21,4.5
14:49:07,64,98,34.72,0.99,-0.02,0.22,4.5
14:49:07,65,97,34.44,0.99,-0.01,0.22,4.5
14:49:07,64,98,34.62,0.98,-0.02,0.22,4.5
14:49:07,67,98,34.48,0.99,-0.02,0.22,4.5
14:49:07,67,98,34.62,0.98,-0.02,0.22,4.5
14:49:07,66,98,34.72,0.99,-0.02,0.21,4.5
14:49:07,67,98,34.62,0.98,-0.02,0.22,4.5
14:49:07,66,99,34.62,0.99,-0.02,0.22,4.5
14:49:07,67,99,34.48,0.98,-0.02,0.22,4.5
14:49:07,66,97,34.53,0.98,-0.02,0.22,4.5
14:49:07,67,97,34.48,0.98,-0.02,0.22,4.5
14:49:07,66,99,34.48,0.98,-0.01,0.22,4.5
14:49:07,66,98,34.67,0.98,-0.02,0.22,4.5
14:49:07,63,99,34.48,0.98,-0.02,0.23,4.5
14:49:07,66,98,34.62,0.99,-0.02,0.21,4.5
14:49:08,65,97,34.48,0.99,-0.01,0.22,4.5
14:49:08,64,98,34.62,0.99,-0.01,0.21,4.5
14:49:08,64,98,34.62,0.99,-0.02,0.22,4.5
